district|school|classification|division|game|enrollment|reportyear
Bruni Webb CISD | Bruni | 1A |2| 11 Man |78|2018
Jonesboro ISD | Jonesboro | 1A |1| 6 Man |80|2018
Rocksprings ISD | Rocksprings | 1A |2| 11 Man |81|2018
Ira ISD | Ira | 1A |1| 6 Man |82|2018
Roby CISD | Roby | 1A |2| 11 Man |82|2018
Veribest ISD | Veribest | 1A |1| 6 Man |82|2018
Gorman ISD | Gorman | 1A |1| 6 Man |83|2018
Mertzon Irion County ISD | Mertzon Irion County | 1A |2| 11 Man |83|2018
Runge ISD | Runge | 1A |2| 11 Man |83|2018
Whiteface CISD | Whiteface | 1A |1| 6 Man |83|2018
Gail Borden Co ISD | Gail Borden | 1A |1| 6 Man |84|2018
Evant ISD | Evant | 1A |1| 6 Man |85|2018
SpringlakeEarth ISD | Earth Springlake | 1A |2| 11 Man |85|2018
Aquilla ISD | Aquilla | 1A |1| 6 Man |86|2018
Rankin ISD | Rankin | 1A |1| 6 Man |86|2018
Saint Jo ISD | Saint Jo | 1A |1| 6 Man |86|2018
Menard ISD | Menard | 1A |2| 11 Man |87|2018
ODonnell ISD | ODonnell | 1A |1| 6 Man |87|2018
Baird ISD | Baird | 1A |2| 11 Man |88|2018
Coolidge ISD | Coolidge | 1A |1| 6 Man |88|2018
Booker ISD | Booker | 1A |2| 11 Man |89|2018
White Deer ISD | White Deer | 1A |1| 6 Man |89|2018
May ISD | May | 1A |1| 6 Man |90|2018
Paint Rock ISD | Paint Rock | 1A |1| 6 Man |90|2018
Ranger ISD | Ranger | 1A |2| 11 Man |91|2018
Glasscock County ISD | Garden City | 1A |1| 6 Man |92|2018
Munday CISD | Munday | 1A |2| 11 Man |92|2018
Abbott ISD | Abbott | 1A |1| 6 Man |93|2018
Covington ISD | Covington | 1A |1| 6 Man |93|2018
New Home ISD | New Home | 1A |2| 11 Man |93|2018
Sterling City ISD | Sterling City | 1A |1| 6 Man |93|2018
Bartlett ISD | Bartlett | 1A |2| 11 Man |94|2018
Spur ISD | Spur | 1A |1| 6 Man |94|2018
Marfa ISD | Marfa | 1A |1| 6 Man |95|2018
Medina ISD | Medina | 1A |1| 6 Man |95|2018
Hamlin ISD | Hamlin | 1A |2| 11 Man |96|2018
Avalon ISD | Avalon | 1A |1| 6 Man |97|2018
Morton ISD | Morton | 1A |1| 6 Man |97|2018
Water Valley ISD | Water Valley | 1A |1| 6 Man |99|2018
PerrinWhitt CISD | PerrinWhitt | 1A |1| 6 Man |100|2018
Shamrock ISD | Shamrock ISD | 1A |2| 11 Man |100|2018
Blum ISD | Blum | 1A |1| 6 Man |102|2018
Claude ISD | Claude | 1A |2| 11 Man |102|2018
Crosbyton ISD | Crosbyton | 1A |2| 11 Man |103|2018
Gilmer Union Hill ISD | Gilmer Union Hill | 1A |1| 6 Man |103|2018
DHanis ISD | DHanis | 1A |2| 11 Man |104|2018
Fruitvale ISD | Fruitvale | 1A |1| 6 Man |104|2018
Ropesville Ropes ISD | Ropesville Ropes | 1A |1| 6 Man |104|2018
